,hour,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,click
3639328,,,,,,,,,,,,,,0.0
3639341,,,,,,,,,,,,,,0.0
3639349,,,,,,,,,,,,,,1.0
3639372,,,,,,,,,,,,,,0.0
3639377,,,,,,,,,,,,,,1.0
3639385,,,,,,,,,,,,,,0.0
3639406,,,,,,,,,,,,,,1.0
3639408,,,,,,,,,,,,,,1.0
3639415,,,,,,,,,,,,,,0.0
3639432,,,,,,,,,,,,,,0.0
3639435,,,,,,,,,,,,,,0.0
3639441,,,,,,,,,,,,,,0.0
3639442,,,,,,,,,,,,,,1.0
3639444,,,,,,,,,,,,,,0.0
3639445,,,,,,,,,,,,,,0.0
3639451,,,,,,,,,,,,,,0.0
3639469,,,,,,,,,,,,,,1.0
3639473,,,,,,,,,,,,,,0.0
3639492,,,,,,,,,,,,,,1.0
3639498,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,298fbc93,1f0bc64f,1.0,0.0,
3639505,,,,,,,,,,,,,,0.0
3639507,14102119.0,0.0,d6137915,bb1ef334,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,88b9bda5,8a4875bd,1.0,0.0,
3639508,,,,,,,,,,,,,,0.0
3639513,,,,,,,,,,,,,,0.0
3639514,,,,,,,,,,,,,,1.0
3639529,,,,,,,,,,,,,,0.0
3639532,,,,,,,,,,,,,,0.0
3639545,14102119.0,1.0,85f751fd,c4e18dd6,50e219e0,c7f29df3,7801e8d9,0f2161f8,4e8474ee,2d782e58,fdfa8fcd,4.0,0.0,
3639555,,,,,,,,,,,,,,0.0
3639567,14102119.0,1.0,5b904c3a,e3bf79b4,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,ff7a2205,a0f5f879,1.0,0.0,
3639571,,,,,,,,,,,,,,0.0
3639573,,,,,,,,,,,,,,0.0
3639575,,,,,,,,,,,,,,0.0
3639583,,,,,,,,,,,,,,0.0
3639587,,,,,,,,,,,,,,0.0
3639589,,,,,,,,,,,,,,0.0
3639604,,,,,,,,,,,,,,0.0
3639610,,,,,,,,,,,,,,0.0
3639611,,,,,,,,,,,,,,1.0
3639614,,,,,,,,,,,,,,0.0
3639619,,,,,,,,,,,,,,0.0
3639622,,,,,,,,,,,,,,0.0
3639639,,,,,,,,,,,,,,0.0
3639657,,,,,,,,,,,,,,0.0
3639669,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,7e5b53ce,b4b19c97,1.0,0.0,
3639673,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,e9739828,df32afa9,cef3e649,a99f214a,886553fa,7abbbd5c,1.0,0.0,
3639681,,,,,,,,,,,,,,0.0
3639684,,,,,,,,,,,,,,0.0
3639699,,,,,,,,,,,,,,0.0
3639707,14102119.0,0.0,83337efb,7256c623,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,1654ce97,fe18eef5,1.0,0.0,
3639711,,,,,,,,,,,,,,0.0
3639715,,,,,,,,,,,,,,1.0
3639762,,,,,,,,,,,,,,1.0
3639767,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,5a287353,22800eff,1.0,0.0,
3639770,,,,,,,,,,,,,,0.0
3639774,,,,,,,,,,,,,,0.0
3639776,,,,,,,,,,,,,,0.0
3639803,,,,,,,,,,,,,,0.0
3639811,,,,,,,,,,,,,,0.0
3639821,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,eb82fbfc,8a4875bd,1.0,0.0,
3639825,,,,,,,,,,,,,,0.0
3639829,,,,,,,,,,,,,,0.0
3639830,,,,,,,,,,,,,,1.0
3639837,14102119.0,1.0,43f201fc,6a0654fe,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,b62b4f97,5db079b5,1.0,2.0,
3639839,,,,,,,,,,,,,,0.0
3639847,,,,,,,,,,,,,,0.0
3639853,,,,,,,,,,,,,,0.0
3639864,14102119.0,0.0,f4959604,7256c623,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ff627862,8a4875bd,1.0,0.0,
3639866,14102119.0,0.0,9e8e8d09,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,a6ff0300,cb0bb947,a9b05547,0.0,0.0,
3639886,,,,,,,,,,,,,,1.0
3639893,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,4de5f462,d9b5648e,75d80bbe,a99f214a,bd3db608,f4fffcd0,1.0,0.0,
3639897,,,,,,,,,,,,,,0.0
3639898,,,,,,,,,,,,,,0.0
3639899,,,,,,,,,,,,,,0.0
3639900,,,,,,,,,,,,,,0.0
3639901,,,,,,,,,,,,,,0.0
3639929,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,fc46e1c5,2347f47a,0f2161f8,a99f214a,052528ca,cdf6ea96,1.0,0.0,
3639936,14102119.0,0.0,85f751fd,c4e18dd6,50e219e0,c8ad1017,2347f47a,f95efa07,a99f214a,adada662,0dedddc5,1.0,2.0,
3639942,,,,,,,,,,,,,,0.0
3639956,,,,,,,,,,,,,,0.0
3639961,,,,,,,,,,,,,,0.0
3639965,14102119.0,0.0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c5ead4ab,158e4944,1.0,0.0,
3639972,,,,,,,,,,,,,,0.0
3639977,,,,,,,,,,,,,,0.0
3639981,,,,,,,,,,,,,,0.0
3639982,,,,,,,,,,,,,,0.0
3639984,,,,,,,,,,,,,,0.0
3639985,,,,,,,,,,,,,,1.0
3639986,,,,,,,,,,,,,,0.0
3639990,,,,,,,,,,,,,,0.0
3639997,,,,,,,,,,,,,,1.0
3639998,,,,,,,,,,,,,,0.0
3640016,,,,,,,,,,,,,,1.0
3640027,,,,,,,,,,,,,,0.0
3640029,,,,,,,,,,,,,,0.0
3640040,,,,,,,,,,,,,,0.0
3640048,,,,,,,,,,,,,,0.0
3640051,,,,,,,,,,,,,,1.0
3640065,,,,,,,,,,,,,,0.0
3640089,,,,,,,,,,,,,,1.0
3640106,,,,,,,,,,,,,,0.0
3640109,,,,,,,,,,,,,,0.0
